1923	222
4555	221
3833	1944
1761	217
2490	216
2449	215
4725	2165
4173	2048
4749	208
1852	207
710	200
469	199
5380	198
978	197
4822	196
943	195
251	192
3172	191
2990	188
2655	187
3782	186
4108	182
2968	181
1368	180
2058	177
265	176
1756	175
4404	174
1146	173
2699	172
949	171
267	165
1983	164
1694	163
2097	160
1951	159
1082	158
2151	157
1965	156
4723	2164
1927	153
926	151
2609	150
5810	2367
5096	147
3096	146
5201	145
410	144
1797	143
4477	142
1193	139
1963	138
4375	136
695	135
1649	134
1940	133
2451	131
2834	130
2033	128
1700	127
2542	1131
487	125
1873	124
1499	123
3097	122
5279	119
5030	118
5720	117
3198	115
4437	114
3754	113
286	112
1703	111
2041	109
5027	108
4496	107
1004	105
470	104
1842	101
1664	100
1149	98
1975	96
2294	95
3120	1387
2176	93
5907	2379
1876	91
1702	90
2381	89
4522	84
1575	83
3824	81
4428	80
2404	79
2342	76
1217	75
4880	74
2271	70
1972	68
1933	67
2084	66
5693	65
3035	64
4010	1986
403	59
1234	61
2415	58
2441	1073
2440	1070
3130	54
4474	52
2197	51
1931	50
252	47
5971	1384
\N	2390
4405	41
2029	39
275	37
3134	33
5468	32
2002	30
1748	29
4023	1989
1851	27
4464	26
1167	24
5850	22
2541	20
2471	19
2131	18
2270	17
6005	16
4753	14
4483	12
5352	11
5923	9
1359	6
1695	5
466	4
5099	1158
2612	1159
2621	1160
3087	1377
2622	1161
2623	1162
2624	1163
2826	1245
2707	1187
2800	1241
325	1165
2643	1166
2646	1167
3173	1168
2729	1196
2665	1170
5824	2369
5223	2253
2671	1174
2672	1175
2702	1186
2676	1176
2955	1177
2956	1290
5930	1179
2682	1181
2732	1182
2688	1183
2689	1184
2950	1285
2721	1189
2722	1190
2723	1191
4700	1192
4697	1333
2727	1194
2728	1195
2730	1197
3133	1198
2734	1199
2736	1200
2738	1203
2739	1204
2740	1205
2741	1206
4004	1207
5951	2373
5458	1209
2749	1210
2750	1211
2751	1212
2752	1213
2753	1214
5326	1215
2756	1216
2758	1217
2759	1218
2760	1219
4000	1221
2763	1222
3928	1223
2766	1224
2767	1225
2768	1226
2769	1227
2770	1228
\N	2377
2772	1230
2773	1231
2788	1234
2792	1235
4513	2129
2795	1238
2796	1239
2798	1240
2803	2318
3153	1243
2828	1246
2829	1247
2851	1248
2856	1250
2858	1251
4880	1253
2879	1254
2880	1255
2881	1256
2885	1257
2886	1258
2887	1259
2888	1260
2889	1261
2921	1262
2922	1263
2923	1264
2924	1265
2925	1266
2928	1267
2929	1268
2930	1269
2932	1270
4443	1273
2935	1272
2937	1274
2939	1276
2941	1277
2943	1278
2944	1279
2945	1280
2946	1281
2947	1282
2948	1283
2951	1286
2952	1287
2953	1288
2954	1289
2957	1291
2958	1292
5264	2272
2960	1294
2961	1295
4709	1297
2966	1298
2971	1299
2972	1300
5476	1303
2982	1304
5007	1305
2984	1306
2985	1307
2991	1311
2994	1313
2995	1314
2996	1315
2998	1317
2999	1318
3000	1319
3001	1320
3002	1321
3003	1322
3004	1323
3005	1324
3006	1325
3068	1362
3007	1326
3008	1327
3009	1328
3011	1329
3012	1330
3014	1331
3017	1332
3021	1334
3022	1335
3024	1336
3025	1337
3026	1338
3027	1339
5478	1340
3039	1343
3040	1344
3041	1345
3044	1346
3051	1347
3052	1348
1565	1349
3054	1350
3055	1351
3056	1352
3057	1353
3058	1354
3059	1355
3061	1356
3062	1357
3063	1358
3064	1359
3065	1360
3069	1361
3070	1363
3071	1364
3072	1365
3073	1366
3074	1367
3075	1368
3076	1369
3077	1370
3078	1371
3079	1372
3080	1373
3081	1374
3083	1375
1587	1378
4005	1984
2976	1945
3764	1658
3885	1949
3868	1948
3790	1926
4279	2059
4276	2056
4275	2055
4222	2052
3914	1957
4871	2181
4056	2012
3136	2013
5961	2014
4238	2054
3175	1892
4229	2053
3167	1887
4065	2020
4076	2021
4077	2022
4086	2023
4088	2024
4090	2025
4092	2026
4903	2183
1584	2004
4038	2002
4035	2000
4034	1999
4033	1998
4032	1997
4030	1995
4029	1994
4028	1993
4026	1992
3998	1983
3997	1982
6026	1981
3801	1929
3985	1972
3980	1970
3143	1884
3145	1885
3199	1893
5457	1909
3703	1895
3714	1896
3717	1897
3718	1898
3719	1899
3720	1900
3721	1901
3723	1903
3724	1904
3725	1906
3726	1907
4850	1908
3735	1910
3747	1911
3748	1912
3749	1913
3750	1914
3760	1915
3866	1947
3776	1918
3971	1967
3922	1960
3779	1921
5275	1922
5193	1924
3794	1928
3802	1930
3807	1931
3809	1932
3810	1933
3816	1935
3818	1936
3826	1937
3827	1938
5333	1939
3830	1940
3831	1941
3832	1942
4410	1943
5224	2255
4466	2060
4283	2061
4285	2063
4286	2064
5658	2346
4406	2102
5229	2261
5075	2144
4337	2074
4342	2077
4688	2158
4317	2065
4318	2066
1783	2210
4716	2067
4327	2068
5535	2327
4328	2069
4329	2070
4330	2071
4332	2072
4333	2073
5262	2271
4338	2075
4340	2076
4730	2169
5144	2222
4356	2078
4357	2079
4358	2080
4360	2081
4361	2082
4389	2095
4365	2084
4366	2085
4369	2087
4418	2110
5011	2187
4476	2117
4827	2178
2738	2332
4382	2089
4383	2090
4565	2091
4678	2092
4387	2093
4388	2094
5957	2359
4391	2097
4392	2098
4393	2099
4385	2101
4787	2176
5650	2339
4687	2157
4718	2162
4415	2107
4407	2103
4409	2104
4414	2106
4416	2108
5699	2109
5700	2360
4419	2111
5570	2334
5025	2190
4495	2126
4478	2119
4918	2120
4489	2121
4524	2132
4491	2123
4494	2125
5856	2153
4508	2127
4509	2128
4514	2130
4521	2131
4529	2133
4533	2134
4535	2135
4536	2136
4537	2137
4538	2138
4540	2139
4541	2140
4547	2141
4552	2142
4554	2143
4560	2145
4561	2146
4563	2147
4564	2148
4572	2149
4728	2161
4727	2167
4731	2170
4733	2171
4735	2172
4736	2173
4751	2175
4905	2184
6061	2185
4985	2186
5859	966
5187	2189
5028	2192
5365	2289
1884	2195
5357	2286
5539	2329
5252	2270
5290	2282
5183	2212
1616	2213
4875	2215
4763	2216
5508	2325
5345	2285
5174	2228
5149	2224
5175	2229
5232	2263
5170	2227
5171	2269
5176	2231
5298	2284
5178	2233
5180	2234
5506	2323
5228	2260
5205	2239
5206	2240
5207	2242
5177	2256
5209	2244
5211	2245
5212	2246
5226	2258
5214	2248
5215	2249
5218	2251
5227	2259
5222	2252
5235	2264
5238	2266
5239	2267
5241	2268
5266	2273
5267	2274
5268	2275
1200	2276
4704	2277
5272	2278
5507	2324
5172	2287
5386	2295
3798	2298
5390	2299
5384	2300
5402	2301
5403	2303
5405	2304
5387	2305
5422	2309
5537	2328
5711	2361
5654	2341
5655	2342
5657	2345
5546	2357
5660	2348
5661	2349
5662	2350
5663	2351
5665	2352
5905	2372
6074	2427
\N	2376
6058	2415
6055	2413
6064	2418
5791	2382
5919	2375
6100	2447
\N	2383
6062	2416
5715	2365
5815	2368
5832	2370
\N	2378
5904	2381
6002	2386
\N	2392
6006	2389
\N	2393
6022	2395
6023	2396
6024	2397
6025	2398
6068	2421
6029	2399
\N	2400
6037	2401
6048	2407
6040	2404
6043	2406
6050	2408
6051	2409
6052	2410
6053	2411
6054	2412
6057	2414
6063	2417
6067	2420
6069	2422
6070	2423
6071	2424
6073	2425
6076	2428
6078	2429
6079	2430
6082	2431
6083	2432
6084	2434
\N	2435
\N	2436
6086	2437
6087	2438
6088	2439
6089	2440
6090	2441
6091	2442
6092	2443
6093	2444
6094	2445
6095	2446
6101	2448
6102	2449
6103	2450
6104	2451
6105	2452
6106	2453
6107	2454
6108	2455
6109	2456
6110	2457
6111	2458
6112	2459
6113	2460
6114	2461
