2603	1157
2804	1154
4462	1155
2601	1153
2597	1151
2595	1150
2593	1148
2594	1149
2577	1145
5343	1143
2559	1142
2558	1141
2557	1140
2552	1138
2549	1137
2548	1136
2938	1275
3876	1135
5059	1133
3131	1134
4156	1132
2535	1129
2528	1124
5412	1123
5242	1122
2524	1121
6118	1120
2964	1119
4447	1118
4231	1116
5981	1115
4473	1114
5459	1113
4580	1112
2513	1111
2512	1110
5104	1109
2499	1108
2497	1107
5021	1106
2492	1104
2489	1102
2485	1100
2488	1101
2484	1099
2483	1098
2482	1097
2481	1096
2470	1089
2633	1146
3979	1088
2460	1086
2436	1067
4546	1069
4965	2262
2401	1049
1960	1079
2628	1041
2454	1081
4726	2166
2376	1035
3986	1973
4662	1034
6008	1033
2373	1031
6031	1026
4403	1025
2920	1023
1015	1016
2561	1021
2175	1015
3961	1965
3963	1966
5962	1011
2046	1009
2047	1007
1812	1004
4526	999
2413	1059
4436	1083
2760	997
4863	2180
3981	1969
306	993
6080	991
3877	989
5845	988
5324	987
5464	986
2000	984
4461	982
2006	980
3982	1971
3115	1386
4284	2062
1590	970
6016	969
4471	968
5979	965
1360	964
4154	961
4180	2050
5920	1974
4008	958
3988	1975
5327	954
3098	953
780	951
2179	950
2904	949
5505	2321
3793	948
2637	946
5853	1976
5013	2188
5079	942
315	940
5280	939
3149	938
1750	937
2631	936
3992	1977
3993	1978
2043	931
2735	1061
5849	1082
1879	927
1843	926
1816	925
3994	1979
1439	921
5313	919
1829	920
1803	918
5679	917
2372	1032
5582	1030
2698	1185
3838	912
4674	913
3855	911
5543	910
2346	908
2347	907
3804	906
1999	905
2416	904
2606	902
3995	1980
1904	900
3972	899
1796	898
3857	1946
1998	891
4015	1987
1913	889
1787	888
5614	1988
1686	884
4024	1990
1828	882
4036	881
1164	880
3766	879
1623	878
4025	1991
1433	876
4458	875
4267	874
4031	1996
1749	871
4179	1105
1912	868
4475	867
5086	865
2988	864
4668	863
2486	862
4341	2001
3975	860
5259	2114
3755	857
1811	856
3978	855
3208	853
2252	852
2094	850
5686	851
304	849
2093	848
826	845
1801	844
4848	843
1454	841
3132	840
3180	838
1778	837
1885	836
5098	835
2142	834
2152	833
